DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1016/j.stem.2016.02.001,Mus musculus,Fibroblasts,Induced Cardiac Progenitor Cells,35,"CHIR99021,9956119;SU5402,5289418;JAK inhibitor I,5494425","SFD medium.
EGM-2 medium.",Activin/Nodal;BMP;FGF;VEGF;PDGF,_,"Inhibitor of GSK3β;Inhibitor of the VEGFR2, FGFR1 and PDGFRB;JAK inhibitor",_,Expandable Cardiovascular Progenitor Cells Reprogrammed from Fibroblasts,GSE77375,35,Percent of cTnT positive cells,1,_,Sheng Ding;Deepak Srivastava;Benoit Bruneau;Shaohua Xu;Ke Li;Tao Xu;Baoming Nie;Kai Liu;Chen Yu;Ji-dong Fu;Ian Spencer;Yu Huang;Nan Cao;Yu Zhang,_
10.1038/srep38290,Homo sapiens,Fibroblasts,Induced Neurons,12,"Kenpaullone,3820;Prostaglandin E2,5280360;Forskolin,47936;BML210,53789347;PP2,4878","MEF medium: DMEM (Gibco) supplemented with 100 mg/mL Penincilin/Streptomycin (Sigma), 2 nM L-Glutamine (Sigma), and 10% FBS (Biosera).
Neuronal induction medium.",_,Human Fetal Lung Fibroblasts (hFL1) (ATCC- CCL- 153) were purchased from the American Type Culture Collection (ATCC). hFL1 cells were expanded in MEF medium,Inhibitor of the GSK3β;Modulator of the cAMP/PKA;CAMP agonist;Inhibitor of the HDAC;Activator of the SIRT1 and Inhibitor of the aminoresveratolsulfat and Src kinase,Ascl1;Brn2;Myt1L,Small molecules increase direct neural conversion of human fibroblasts,GSE83896,6.88,Percent of the MAP2+ cells,2,_,Malin Parmar;Roger Olsson;Shamit Soneji;Stefan Lang;Fredrik Ek;Ulrich Pfisterer,_
10.1007/7651_2014_69,Homo sapiens,Embryonic Stem Cells,Induced Neurons,14,"Retinoic acid,444795","HESC media: DMEM/F12 or KO-DMEM (80 %), KO serum replacement (20 %), L-alanyl-L-gln or L-gln (2 mM), MNAA (1), and β-ME (100 μM), filtered and stored at 4 C, supplemented with 20 ng/ml bFGF immediately before use. Or replacing “KO serum replacement” with defined components: DMEM/F12 or KO-DMEM (100 %), L-alanyl-L-gln or L-gln (2 mM), MNAA (1), MEAA (1), and β-ME (100 μM), filtered and stored at 4 C, supplemented with bFGF (20 ng/ml), human insulin (20 μg/ml), ascorbic acid (50 μg/ml), human activin A (50 ng/ml), human albumin/Albumax (10 mg/ml), and human transferrin (8 μg/ml) immediately before use.
HNSC media: DMEM/F12 (100 %), N-2 supplement (1), heparin.",bFGF;VEGF;NT-3;BDNF,"Allow undifferentiated hESC colonies to grow to 5–7 days old, and take hESC culture plate to dissecting microscope (pre-warm dissecting stage to 37 C) underneath dissecting sterilized hood",Agonist of a retinoic acid receptor,_,Direct Conversion of Pluripotent Human Embryonic Stem Cells Under Defined Culture Conditions into Human Neuronal or Cardiomyocyte Cell Therapy Derivatives,_,_,_,1,_,Xuejun Parsons,_
10.1007/7651_2014_69,Homo sapiens,Embryonic Stem Cells,Induced Cardiomyocytes,14,"Nicotinamide,936","HESC media: DMEM/F12 or KO-DMEM (80 %), KO serum replacement (20 %), L-alanyl-L-gln or L-gln (2 mM), MNAA (1), and β-ME (100 μM), filtered and stored at 4 C, supplemented with 20 ng/ml bFGF immediately before use. Or replacing “KO serum replacement” with defined components: DMEM/F12 or KO-DMEM (100 %), L-alanyl-L-gln or L-gln (2 mM), MNAA (1), MEAA (1), and β-ME (100 μM), filtered and stored at 4 C, supplemented with bFGF (20 ng/ml), human insulin (20 μg/ml), ascorbic acid (50 μg/ml), human activin A (50 ng/ml), human albumin/Albumax (10 mg/ml), and human transferrin (8 μg/ml) immediately before use.
HNSC media: DMEM/F12 (100 %), N-2 supplement (1), heparin.
HESC cardiac differentiation media: DMEM/F12 (90 %), defined FBS (10 %), and L-alanyl-L-gln or L-gln (2 mM)",bFGF,"Allow undifferentiated hESC colonies to grow to 5–7 days old, and take hESC culture plate to dissecting microscope (pre-warm dissecting stage to 37 C) underneath dissecting sterilized hood",_,_,Direct Conversion of Pluripotent Human Embryonic Stem Cells Under Defined Culture Conditions into Human Neuronal or Cardiomyocyte Cell Therapy Derivatives,_,_,_,1,_,Xuejun Parsons,_
10.1126/sciadv.1600691,Homo sapiens,Embryonic Stem Cells,Induced Osteoblasts,21,"Adenosine,60961;PSB603,44185871;Dexamethasone,5743","Dulbecco’s modified Eagle’s medium (DMEM).
Growth medium: high-glucose DMEM, 10% (v/v) fetal bovine serum (HyClone), 4 mM L-glutamine, and penicillin/streptomycin (50 U/ml), growth medium supplemented with adenosine (30 μg/ml) (Sigma-Aldrich, catalog no. A4036), growth medium supplemented with adenosine (30 μg/ml) and 100 nM PSB 603 (Tocris Bioscience, catalog no. 3198), or osteogenic-inducing medium [growth medium containing 10 mM β-glycerophosphate (Calbiochem, catalog no. 35675), 50 μM ascorbic acid-2-phosphate (Sigma-Aldrich, catalog no. A8960), and 100 nM dexamethasone (Sigma-Aldrich, catalog no. D2915)",bFGF,"Briefly, hPSCs were cultured on feeder layers of mitotically inactivated mouse embryonic fibroblasts using a medium consisting of KnockOut DMEM (Life Technologies, catalog no. 10829-018), 10% (v/v) KnockOut Serum Replacement (Life Technologies, catalog no. 10828028), 10% (v/v) human plasmanate (Talecris Biotherapeutics), 1% (v/v) nonessential amino acids, 1% (v/v) GlutaMAX, 1% (v/v) penicillin/streptomycin, and 55 μM 2-mercaptoethanol. hPSCs were passaged using Accutase (Millipore) at approximately 80% confluence. The fresh medium was supplemented with bFGF (30 ng/ml) (Life Technologies) and replenished daily.",Osteogenic inducer;Antagonist of the A2B;Activator of glucocorticoid pathway,_,Small molecule–driven direct conversion of human pluripotent stem cells into functional osteoblasts,_,_,"Osteogenic differentiation of hiPSCs was further evaluated through time-resolved quantitative analyses for various osteogenic genes (RUNX2, OCN, and SPP1). ",1,_,Shyni Varghese;Harsha Kabra;Manando Nakasaki;Yu-Ru Shih;Heemin Kang,_
10.1016/j.jmb.2015.10.028,Mus musculus,Radial Glia Type Neural Stem Cells,Induced Neuroepithelial Progenitors,11,"CHIR99021,9956119;Tranylcypromine,19493;SB431542,4521392;Valproic Acid,3121","NSC cell culture medium: 98.8% EuroMed, 1% N-2 Supplement, 0.1% EGF, 0.1% FGF",BMP4;GDNF;BMP4;B27;EGF;FGF,"RG-NSC were isolated from Oct4-GiP mouse embryos E14 21 as described previously 9 . For the cultivation of RG-NSCs plates were coated with poly-ornithine and laminin (PO/Ln) for at least two hours at 37°C. To facilitate attachment to the
plates, 1ng/mL laminin was added to the culture medium after seeding of the NSCs. Cells were cultured in NSC cell culture medium 14 (98.8% EuroMed, 1% N-2 Supplement, 0.1% EGF, 0.1% FGF), which was changed every other day.",Inhibitor of GSK3β;Inhibitor of lysine-specific demethylase 1 (LSD1);Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of histone deacetylase,Brn2;c-Myc,Partial Dedifferentiation of Murine Radial Glia-Type Neural Stem Cells by Brn2 and c-Myc Yields Early Neuroepithelial Progenitors,_,_,Expression of neuroepithelial markers: Dach1 and Sox1,2,_,Frank Edenhofe;Martina Gebhardt;Kathrin Lemke;Marc Thier;Philipp Worsdorfer;Raffaela Bung,_
10.1016/j.lfs.2016.08.032,Mus musculus,Fibroblasts,Induced Pancreatic Beta Cells,4,"Dexamethasone,5743",Modified Eagle’s Medium / F12,,"Mouse embryonic fibroblast cell line, NIH3T3 was purchased from American Type Culture Collection (ATCC) by the Bio-bank facility of the Dr. Panjwani Center for Molecular
Medicine and Drug Research (PCMD). The cells were seeded in high glucose Dulbecco’s Modified Eagle’s Medium / F12 (DMEM/F12) supplemented with 20% fetal bovine serum
(FBS); 100 units/mL penicillin and 100 μg/mL streptomycin.",Activator of glucocorticoid pathway,_,Conditioned Media Trans-Differentiate Mature Fibroblasts Into Pancreatic Beta-Like Cells,_,_,"Expression of the pancreatic genes (insulin, MafA, and Ngn3)",1,_,Asmat Salim;Sehrish Usman;Anwar Ali;Hana Iqbal;Nadia Naeem;Irfan Khan;Shumaila Usman,_
10.1016/j.celrep.2016.04.066,Homo sapiens,Embryonic Stem Cells,Induced Cytotrophoblast Stem Cells,12,"PD407824,4369491;CHIR124,135399748","Standard medium: DMEM supplemented with 10% fetal bovine serum.
hESC medium: 80% DMEM/F12, 20% knockout serum replacement, 10 ng/ml human recombinant basic fibroblast growth factor, 2 mM GlutaMax, 0.1 mM nonessential amino acids, and 0.1 mM β-mercaptoethanol.
Differentiation medium: 80% knockout DMEM, 20% FBS (Hyclone), 2 mM GlutaMax, 0.1 mM nonessential amino acids, and 0.1 mM β-mercaptoethanol with DMSO or PD407824 combined with 3 or 10 ng/ml BMP4",BMP,Human ESC H1 and H9 cells were purchased from WiCell Research Institute.,Inhibitor of the checkpoint kinase 1 (CHK1);Inhibitor of the checkpoint kinase 1 (CHK1),_,Discovery of a Small-Molecule BMP Sensitizer for Human Embryonic Stem Cell Differentiation,_,_,Expression of the ALK,1,_,Shuibing Che;Todd Evans;Brooke LaFlamme;Ting Zhou;Su-Yi Tsai;Brandoch Cook;Lingling Feng,_
10.1016/j.celrep.2016.04.066,Homo sapiens,Embryonic Stem Cells,Induced Mesodermal Cells,12,"PD407824,4369491;CHIR124,135399748","Standard medium: DMEM supplemented with 10% fetal bovine serum.
hESC medium: 80% DMEM/F12, 20% knockout serum replacement, 10 ng/ml human recombinant basic fibroblast growth factor, 2 mM GlutaMax, 0.1 mM nonessential amino acids, and 0.1 mM β-mercaptoethanol.
Differentiation medium: 80% knockout DMEM, 20% FBS (Hyclone), 2 mM GlutaMax, 0.1 mM nonessential amino acids, and 0.1 mM β-mercaptoethanol with DMSO or PD407824 combined with 3 or 10 ng/ml BMP4",BMP,Human ESC H1 and H9 cells were purchased from WiCell Research Institute.,Inhibitor of the checkpoint kinase 1 (CHK1);Inhibitor of the checkpoint kinase 1 (CHK1),_,Discovery of a Small-Molecule BMP Sensitizer for Human Embryonic Stem Cell Differentiation,_,42.6,Percent of the TNNT2 + cells,1,_,Shuibing Che;Todd Evans;Brooke LaFlamme;Ting Zhou;Su-Yi Tsai;Brandoch Cook;Lingling Feng,_
10.1016/j.celrep.2016.03.073,Mus musculus,Epiblast Stem Cells,Induced Embryonic Stem Cells,8,"Epiblastin A,118987042;PD0325901,9826528","EpiSCmedium: DMEM/F12 (Gibco BRL) con-taining 20% knockout (KO) serum replacement (Gibco BRL), 2 mM glutamine,nonessential amino acids, and 5 ng/ml bFGF.",bFGF,EpiSCs were cultured on feeder-free dishes that had been precoated with fetalcalf serum (FCS) for 15 min in MEF (CF1 mice)-conditioned medium.,Inhibitor of the casein kinase 1 alpha;Inhibitor of MEK/ERK pathway,_,Distinct Signaling Requirements for the Establishment of ESC Pluripotency in Late-Stage EpiSCs,_,97.3,Percent of the Oct4-GFP-positive cells,1,_,Hans Scholer;Herbert Waldmann;Shaorong Gao;Ian Chambers;Slava Ziegler;Wiebke Herzog;Susanne Hoing;Boris Greber;Jiayu Chen;Kathrin Grassme;Douglas Colby;Davood Sabour;Daniel Esch;Guangming Wu;Marcos Arauzo-Bravo;Juyong Yoon;Kee-Pyo Kim;Rodrigo Osorno;Andrei Ursu;Miao Zhang;Damir Jacob,_
10.1074/jbc.M115.709808,Mus musculus,Fibroblasts,Induced Parvalbumin Neurons,7,"Forskolin,47936","Neural medium: 1 g/Lglucose DMEM/F12/Neural Basal  2:2:1, 1×B-27, 10 or 20 ng/ml BDNF.",BDNF,"We used E13.5 C57BL/6 or PV-GFP transgenic mouse embryos to isolate primary mouse embryonic fibroblasts. The dissociated cells were cultured in high glucose DMEM (Invitrogen), supplemented with 10% fetal bovine serum (FBS) (Biochrom), 0.1 mM non-essential amino acids (NEAA), and 2 mM Glutamax in a 37°C and 5% CO2 incubator. ",CAMP agonist,Ascl1,"Conversion of Fibroblasts to Parvalbumin Neurons by one Transcription Factor, Ascl1, and the Chemical Compound Forskolin",GSE79146,77.2,"At 7 dpi, PV-positive cells accounted for 77.2% of the total cells and were almost all Tuj1-positive neuronal cells",2,_,Qi Zhou;Baoyang Hu;Qianwen Zhu;Huimin Qiao;Xuepei Lei;Yanxin Li;Shuangquan Chen;Juan Zhang;Zixiao Shi,_
10.1186/s13619-015-0027-6,Mus musculus,Fibroblasts,Induced Neurons,16,"Vitamin C,54670067;β-mercaptoethanol,1567","M1 medium: DMEM/F12 supplemented with N2, B27, bFGF, EGF, LIF, Vc, βMe, GlutaMax (Glu), and non-essential amino acids (NEAA).",bFGF;LIF,MEFs were derived from 13.5-day ICR mouse embryos. All MEFs and astrocytes were cultured in FBS medium for additional two passages in non-coating plate after recovering from freezing in liquid nitrogen,_;_,_,Reprogramming somatic cells to cells with neuronal characteristics by defined medium both in vitro and in vivo,GSE68902,40,Percent of the TuJ+ cells,1,_,Hui Zheng;Duanqing Pei;Jiekai Chen;Huanxing Su;Lingyu Li;Lining Liang;Hao Sun;Fuhui Wang;Qiang Liu;Chuanming Luo;Yi Zheng;Chunhua Liu;Haitao Wang;Lin Guo;Lilong Lin;Xiang Li;Chengqian Feng;Yuan Li;Yixin Zhang;Yiping Guo;Songwei He,_
10.1073/pnas.1422818112,Homo sapiens,Induced Pluripotent Stem Cells,Induced Retinal Pigment Epithelium,15,"Chetomin,2693;Nicotinamide,936","Differentiation Medium: DMEM/F12 425 mL, KO SR 75 mL, Glutamine 100,NEAA 100,Anti-Anti 100,β-Mercaptoethanol.
RPE medium: DMEM, F12, B27,Anti-Anti.",_,"hiPSC lines H1, H7, and H9 (WiCell) were maintained on growth factor-reduced Matrigel (BD Biosciences), in mTeSR1 medium (Stem Cell Technologies), in a 10% CO2/5% O2 incubator. hPSCs were seeded at 20,000 cells per cm2 on Matrigel and grown in mTeSR1 in a 10% CO2/5% O2 incubator for 5 d. Afterward, they were transferred to a 5% CO2/20% O2 incubator and cultured for 5 additional days.",Inhibitor of the hypoxia inducible factors;_,_,"Small-molecule–directed, efficient generation of retinal pigment epithelium from human pluripotent stem cells",_,50,Percent of the PMEL17+ cells,1,High-throughput quantitative PCR screening,Donald Zack;Gerard Lutty;Imran Bhutto;Bogdan Olenyuk;Ramin Dubey;Sally Temple;Barbara Corneo;Jiang Qian;Jun Wan;Lijun Zhao;Catherine Kim;Janine Davis;Cynthia A;Valentin M;Vinod Ranganathan;Karl J;John Fuller;Kapil Bharti;Srinivas R;Julien Maruotti,_
10.22074/cellj.2015.522,Homo sapiens,Fibroblasts,Induced Neural Progenitor Cells,14,"5-Aza-2'-deoxycytidine,451668",_,_,_,Inhibitor of DNA methylation,_,Brief azacytidine step allows the conversion of suspension human fibroblasts into neural progenitor-like cells,_,_,Expression of the neural progenitor gene markers SOX2 and PAX6,1,_,Hossein Baharvand;Sahar Kiani;Bahman Zeynali;Fahimeh Mirakhori,_
10.1038/cr.2013.156,Homo sapiens,Fibroblasts,Induced Neural Stem Cells,28,"A83-01,16218924;CHIR99021,9956119;Lysophosphatidic acid,5497152;Rolipram,5092;SP600125,8515","N2 medium.
Reprogramming initiation medium (RepM-hIni):Advanced DMEM/F12 supplemented with 10% KSR, 5% ES-FBS, 2 mM Glutamax, 0.11 mM βmercaptoethanol, 3 μM CHIR99021 and 0.5 μM A83-01",BDNF;GDNF;FGF2;EGF,"Human foreskin fibroblasts (CRL-2097, ATCC) or adult human dermal fibroblasts were cultured in MEF medium (Dulbecco’s modified Eagle’s medium supplemented with 10% fetal bovine serum (FBS), 0.1 mM non-essential amino acids, and 2 mM Glutamax.","Inhibitor of ALK4, ALK5, ALK7 (activin receptor-like kinases);Inhibitor of GSK3β;Phospolipid derivative;Inhibitor of the type 4 cyclic nucleotide phosphodiesterases (PDE4);Inhibitor of JNK",Oct4,Small molecules enable Oct4-mediated direct reprogramming into expandable human neural stem cells,GSE38045,_,Expression of the hNSC marker -- PAX6,2,_,Sheng Ding;Janghwan Kim;Stuart A;Yee Sook;Scott R;Eliezer Masliah;Sara Sanz;Sofiyan Saleem;Jeffrey D;Han-Seop Kim;James Parker;Timothy Laurent;Yu Zhang;Mingliang Zhang;Xiaojing Wang;Maria Talantova;Hyun Jung;Woong Sun;Rajesh Ambasudhan;Saiyong Zhu,_
10.1016/j.cmet.2014.03.019,Mus musculus,Fibroblasts,Induced Islet Cells,_,"Retinoic acid,444795;A83-01,16218924;Vitamin C,91899426;LDE225,24775005;BIX01294,25150857;SB203580,176155",_,_,_,"Agonist of a retinoic acid receptor;Inhibitor of ALK4, ALK5, ALK7 (activin receptor-like kinases);_;_;Inhibitor of the G9a histone methyltransferase;Inhibitor of the MAP kinase",Oct4;Sox2;Klf4;c-Myc,Small Molecules Convert Fibroblasts into Islet-like Cells Avoiding Pluripotent State,_,30,Percent of the Pdx-1+/Nkx6.1+ cells,2,_,Nadya Lumelsky,_
10.1016/j.yexcr.2014.01.006,Homo sapiens,Induced Pluripotent Stem Cells,Induced Definitive Endoderm,9,"IDE1,23749403","hES medium: DMEM/F12 supplemented with 15% KnockOut Serum Replacement and 10 ng/ml bFGF.
Osteogenic medium: DMEM/F12 supplemented with 10% FBS, 10 mM β-glycerophosphate, 50 m g/mL ascorbic acid, and 100nM dexamethasone.
Differentiation medium: DMEM/F12 supplemented with 2% FBS, 1  ITS, 50 m g/mL ascorbic acid, 100 nM dexamethasone, 40 m g/ml prolin, 10 ng/ml BMP-2 and 10 ng/ml TGF-β1).
Adipogenic medium: DMEM/F12 supplemented with, 10% FBS, 0.5 mM IBMX, 0.25 m M dexamethasone, 1 m g/ml insulin, 0.2 mM indomethacin and 1 m M pioglitazon",Wnt3a;Activin A,"The stromal fibroblast-like cells were isolated as we previously described (S. Nadri, M. Soleimani, J. Kiani, A. Atashi, R. Izadpanah, Multi- potent mesenchymal stem cells from adult human eye conjunc- tiva stromal cells, Differentiation 76 (2008) 223–231.)",Activator of the activin/BMP/TGF-β pathway,_,"Efficient programming of human eye conjunctiva-derived induced pluripotent stem (ECiPS) cells into definitive endoderm-like cells
",_,45,"Expression of the definitive endoderm specific markers: GSC, Sox17 and Foxa2",1,_,Mohammad Khorramizadeh;Mohammad Nabiuni;Masoud Soleimani;Athena Hajarizadeh;Farzaneh Pourasgari;Samad Nadri;Leili Ghazizadeh;Abdollah Hooti;Parvaneh Baktash;Elham Hoveizi;Mohammad Massumi,_
10.1371/journal.pone.0100369,Homo sapiens,Fibroblasts,Induced Pancreatic Beta Cells,30,"Nicotinamide,936","Transdifferentiation medium (TM): 40 ng/mL bFGF, 20% xeno-free serum replacement (Invitrogen), 2 mM glutamine, 0.1 mM nonessential amino acids, 0.1 mM β-mercaptoethanol, and 2% antibiotics in DMEM/F12 Knockout]",Exendin-4;bFGF;B27;insulin-transferrin-selenium-A;insulin;IGF1,Skin biopsies were obtained from two T1D patients (HF1 and HF2; Table 1) and one healthy volunteer (HF0). The skin biopsies were cultured and expanded in fibroblast medium (FM: DMEM-Knockout with 10% FBS and 1% antibiotics) at 37°C in 5% CO2 and frozen in FM containing 10% DMSO at passage 3. ,_,_,,,42.8,Expression of the essential pancreatic transcription factors and genes: PDX1,1,_,Pablo Argibay;Leon Litwak;Patricia Fainstein;nica Loresi;Marta Balzaretti;Sung-Ho Hyon;Carla Gimenez;Johana A;Marcelo Ielpi;Nelson Argumedo;a Gimeno;Federico Pereyra-Bonnet,_
10.1111/j.1755-5922.2012.00320.x,Rattus _,Mesenchymal Stem Cells (Bone marrow derived),Induced Cardiomyocytes,15,"Zebularine,100016;5-Aza-2'-deoxycytidine,451668","Dulbecco's modified Eagle's medium: DMEM; GIBCO‐Life Technologies, Carlsbad, CA, USA) supplemented with 10% fetal bovine serum (FBS), 100 U/mL penicillin, and 100 μg/mL streptomycin",,"Mesenchymal stem cells (MSCs) were isolated from tibia and femur of SD rats under aseptic conditions. Whole bone marrow was cultured in Dulbecco's modified Eagle's medium (DMEM; GIBCO‐Life Technologies, Carlsbad, CA, USA) supplemented with 10% fetal bovine serum (FBS), 100 U/mL penicillin, and 100 μg/mL streptomycin. ",Inhibitor of the DNA methyltransferase;Inhibitor of DNA methylation,_,"DNA Methylation Inhibitors, 5‐azacytidine and Zebularine Potentiate the Transdifferentiation of Rat Bone Marrow Mesenchymal Stem Cells into Cardiomyocytes",_,66,"Expressions of GATA 4, Nkx 2.5, and cardiac troponin T",1,_,Asmat Salim;Siddiqua Jamall;Hanaa Iqbal;Nurul Kabir;Kanwal Haneef;Nadia Naeem,_
10.1038/nprot.2012.156,Homo sapiens,Induced Pluripotent Stem Cells,Induced Neural Crest Stem Cells,15,"SB431542,4521392;BIO,448949","hESC maintenance medium (500 ml): Combine 432 ml of DMEM/F12, 50 ml of Probumin (20% (vol/vol) stock solution), 5 ml of penicillin-streptomycin, 5 ml of L-alanyl-L-glutamine, 5 ml of MEM non-essential amino acids, 0.5 ml of trace elements A, 0.5 ml of trace elements B, 0.5 ml of trace elements C, 0.9 ml of 2-mercaptoethanol, transferrin (10 μg ml−1), (+)-sodium L-ascorbate (50 μg ml−1), Heregulin β-1 (10 ng ml−1), activin A (10 ng ml−1), LONGR3 IGF-I (200 ng ml−1), and Fgf2 (8 ng ml−1) or Stempro (Invitrogen) supplemented with Fgf2 (8 ng ml−1). Filter-sterilize the medium before use. Store the medium for up to 1 week at 4 °C.
Neural crest differentiation medium (50 ml): Use the hESC maintenance medium without activin A and add GSK3 inhibitor IX (BIO) (2–4 μM) and SB431542 (20 μM). Store the medium for up to 1 week at 4 °C.
FBS medium for pMEFs and fibroblasts, 10% (vol/vol) (500 ml): Combine 440 ml of DMEM/F12, 50 ml of FBS, 5 ml of penicillin-streptomycin, 5 ml of L-alanyl-L-glutamine and 0.9 ml of 2-mercaptoethanol. Filter-sterilize the medium before use. Store the medium for up to 2 weeks at 4 °C.
KSR medium, 20% (vol/vol) (500 ml): Combine 390 ml of DMEM/F12, 100 ml of KSR, 5 ml of penicillin-streptomycin, 5 ml of L-alanyl-L-glutamine, 0.9 ml of 2-mercaptoethanol and Fgf2 (4 ng ml−1). Filter-sterilize the medium before use. Store the medium for up to 2 weeks at 4 °C.
Peripheral neuron medium (50 ml): Combine DMEM/F12, 0.5 ml of N2 supplement, 0.5 ml of penicillin-streptomycin, BDNF (10 ng ml−1), NGF (10 ng ml−1), GDNF (10 ng ml−1), NT3 (10 ng ml−1), ascorbic acid (200 ìm) and cAMP (0.5 mM). Store the medium for up to 1 week at 4 °C.
Cryoprotective medium (20 ml): For TCS fibroblasts, combine 18 ml of FBS and 2 ml of DMSO. For hiPSCs and hESCs, combine 18 ml of hESC maintenance medium and 2 ml of DMSO. Store the medium for up to 1 month at 4 °C.",NGF;Nanog;BDNF;GDNF;NT3,"TCS patient cells (containing a mutation in exon 21 of the TCOF1 gene, consistent with a diagnosis of TCS 1), hESCs or hiPSCs",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of GSK3,_,Directed differentiation of human pluripotent cells to neural crest stem cells,_,90,Percent of p75+ Hnk1+ cells,1,_,Michael Cunningham;James Lauderdale;Sarah Park;Austin Page;Michael Kulik;Laura Menendez,_
10.2174/1566524011313050015,Homo sapiens,Induced Pluripotent Stem Cells,Induced Hepatocytes,17,"SB431542,4521392;Ly294002,3973","RPMI with 0.5 mg/ml BSA, 5% Knock-out serum replacement (Invitrogen) and 100 ng/ml Activin A",BSA;Activin A;FGF4;HGF,"For iPSC generation 30,000 human fetal fibroblasts were seeded in a 6-well dish (TPP Techno Plastic Products; Switzerland) in MEF Media with 10g/ml protamine sulphate and 2mM Valproic Acid. Cells were transduced with a MOI of 5 with a polycistronic VSVG pseudotyped SIN lentivirus encoding the reprogramming factors Oct4, KLF4 and SOX2 with an IRES mediated dTomato expression. MEF media was
changed daily containing 2 mM Valproic Acid after three days media was changed to 50% MEF media and 50% hES media containing 2mM Valproic Acid with daily media change. After one week cells were replated on CF1 MEFs and kept one week in hES media with 40ng/ml bFGF with daily media change. Single colonies were mechanically picked and expanded on CF1 MEFs in hES media with 20ng/ml bFGF. ",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of the PI3 kinase,_,"Improved Hepatic Differentiation Strategies for Human Induced
Pluripotent Stem Cells",_,35,FACS analyses for albumin promoter-dependent dTomato expression (The Percent of differentiated cells was quantified by FACS analysis),1,_,T. Cantz;M. Ott;B. Greber;A. Schambach;D. Sharma;J. Hoepfner;S. Mobus;M. Sgodda,_
10.1186/s13287-019-1407-6,Mus musculus,Gallbladder Stem Cells,Induced Pancreatic Beta Cells,7,"Nicotinamide,936;LDE225,24775005;Ly294002,3973;FR180204,11493598;Retinoic acid,444795",Kubota’s medium,Noggin;HGF,"Male, 8–10-week-old C57BL/6J mice (Shanghai Model Organisms Center, Shanghai, China) and CK19CreERT;Rosa26R-GFP mice (Tongji University, Shanghai, China) were housed in specific pathogen-free (SPF) rooms under controlled temperature, exposed to alternating 12-h light/dark cycles. After sacrificing the animals, the gallbladders of C57BL/6J and CK19CreERT/Rosa26R-GFP mice were dissected from the liver, cut into pieces, and washed with ice-cold Hanks’ Balanced Salt Solution. For immunofluorescence staining, the tissues were embedded in optimal cutting temperature compound (OCT, Sakura, Japan) and maintained at − 80 °C. For digestion, the tissues were cut into small pieces and incubated with 0.25% trypsin/0.1% EDTA (Thermo Fisher, Waltham, MA, USA) for 30 min at 37 °C to obtain a cell suspension.",_;_;Inhibitor of the PI3 kinase;Inhibitor of the ERK;Agonist of a retinoic acid receptor,_,,_,15.9,The efficiency of cells differentiated into insulin+ cells was 15.9% ± 1.2%.,1,_,Min-Jun Wang;Yi-Ping Hu;Yongquan Shi;Haiying Zhu;Jiajia Chen;Tao Yang;Qinggui Liu;Yu Sun;Tuo Li;Fei Chen,_
10.1155/2012/140427,Homo sapiens,Induced Pluripotent Stem Cells,Induced Neurons,60,"Dorsomorphin,11524144;SB431542,4521392;Purmorphamine,5284329","Neural induction media (NIM): DMEM/F12, 1x NEAA, 0.5x L-Glu, and freshly made and sterile filtered N2, which contained 1.55 g/L glucose, 2 g/L sodium bicarbonate, 100 μM putrescine, 30 nM sodium selenite, 20 nM progesterone, 0.1 mg/mL transferrin, 0.025 mg/mL insulin and FGF2.
Neural progenitor cell media (NPC media): neurobasal media (Invitrogen, Cat. No. 21103049), 1x NEAA, 1x L-Glu, 1x P/S, 1x B27 supplement (Invitrogen, Cat. No. 17504044), and FGF2 (20 ng/mL)",Transferrin;FGF2,"iPSCs were cultured and maintained on mitomycin C inactivated mouse embryonic fibroblasts (iMEF) (EMD Millipore Cat. No. PMEF-CF) in hESC media containing DMEM/F12, 20% knockout serum replacement (Invitrogen, Cat. No. 10828028), 1x NEAA, 1x P/S, 0.1%  β-Mercaptoethanol (Invitrogen, Cat. No. 21985023), 0.5x L-Glu and 6 ng/mL of basic fibroblast growth factor (FGF2) ","Inhibitor of ALK2, ALK3, ALK6 and AMPK;Inhibitor of the Activin/BMP/TGF-β pathway;Agonist of hedgehog",_,Small Molecules Greatly Improve Conversion of Human-Induced Pluripotent Stem Cells to the Neuronal Lineage,_,90,We detected >90% Nestin and Sox1 immunoreactive NPCs in all iPSC cell lines taken through this protocol,1,_,Birgitt Sch;William Langston;Loan Nguyen;Ramya Sundararajan;Malini Vangipuram;Shifteh Iranmanesh;Anne Huang;Sally Mak,_
