,DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",smiles of chemicals,name of chemicals in L1000FWD,cid of chemicals in L1000FWD
61,10.1021/acschemneuro.8b00365,Homo sapiens,U87MG Glioblastom Cells,Induced Neurons,13,"Forskolin,47936;ISX9,19582717;CHIR99021,9956119;I-BET151,52912189;DAPT,5311272",CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;COc1cc2c3N([C@H](C)c4ccccn4)C(=O)Nc3cnc2cc1c5c(C)onc5C;CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)N=CC4=C3N(C(=O)N4)C(C)C5=CC=CC=N5)OC;CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC(C(=O)OC(C)(C)C)c2ccccc2;CC(C(=O)NC(C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F;O=C(NC1CC1)c2cc(on2)c3cccs3;C1CC1NC(=O)C2=NOC(=C2)C3=CC=CS3,colforsin;forskolin;CHIR-99021;GSK1210151A;forskolin;forskolin;DAPT-GSI-IX;CHEMBL-1222381;,5702265;47936;9956119;52912189;3413;6610344;2956;19582717;
62,10.1161/CIRCULATIONAHA.116.024692,Mus musculus,Fibroblasts,Induced Cardiomyocytes,28,"SB431542,4521392;XAV939,135418940",OC[C@H]1O[C@H](C(O)[C@H]1O)n2cccnc2=O;C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O;ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO;OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cccnc1=O;C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O;ONC(=O)CCCN1C(=O)c2cccc3cccc(C1=O)c23;C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,zebularine;scriptaid;zebularine;itdac-1;,46783268;5186;100016;3785;
63,10.1016/j.stemcr.2017.01.025,Mus musculus,Fibroblasts,Induced Cardiomyocytes,9,"DAPT,5311272",CC(NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC(C(=O)OC(C)(C)C)c2ccccc2;CC(C(=O)NC(C1=CC=CC=C1)C(=O)OC(C)(C)C)NC(=O)CC2=CC(=CC(=C2)F)F,DAPT-GSI-IX;,2956;
64,10.1038/s41586-020-2201-4,Mus musculus,Fibroblasts,Induced Photoreceptor-like cells,15,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;IWR1,3137736;Taurine,1123;Retinoic acid,444795",NC1C[C@H]1c2ccccc2;C1C(C1N)C2=CC=CC=C2;CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;N[C@@H]1C[C@H]1c2ccccc2;C1C(C1N)C2=CC=CC=C2;C/C(=CC=CC(=CC(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=CC=CC(=C/C(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;N[C@H]1C[C@@H]1c2ccccc2;C1C(C1N)C2=CC=CC=C2;OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O;C1=CC=C2C(=C1)C(=O)N(C2=O)C(CC3=CNC4=CC=CC=C43)C(=O)O;CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,tranylcypromine;colforsin;forskolin;CHIR-99021;tranylcypromine;tretinoin;isotretinoin;tranylcypromine;RG-108;forskolin;forskolin;tretinoin;alitretinoin;,5702124;5702265;47936;9956119;19493;444795;5282379;26070;702558;3413;6610344;444795;449171;
65,10.1038/cr.2010.142,Mus musculus,Fibroblasts,Induced Pluripotent Stem Cells,20,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Parnate,19493",Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O;CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C;Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F;C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O;C/C(=CC=CC(=CC(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=CC=CC(=C/C(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;OCC(O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F;C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O;CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,troglitazone;CHIR-99021;PD-0325901;tretinoin;isotretinoin;PD-0325901;tretinoin;alitretinoin;,5591;9956119;9826528;444795;5282379;10206158;444795;449171;
66,10.1038/srep01185,Rattus _,WB-F344 cells,Induced Pancreatic Beta Cells,17,"5-Aza-2'-deoxycytidine,451668;Trichostatin A,444732;Retinoic acid,444795",Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1;C1C(C(OC1N2C=NC(=NC2=O)N)CO)O;OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O;C1=CC=C2C(=C1)C(=O)N(C2=O)C(CC3=CNC4=CC=CC=C43)C(=O)O,decitabine;RG-108;,451668;702558;
67,10.1016/j.jhep.2018.09.007,Homo sapiens,Hepatocytes,Induced Hepatic Progenitors,15,"CHIR99021,9956119;A83-01,16218924;Dexamethasone,5743",C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@]12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=C[C@@]43C)C2C[C@@H](O)[C@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;C[C@@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]2C[C@@H](O)[C@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@]12C[C@H](O)[C@@]3(F)[C@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,flumetasone;betamethasone;dexamethasone;triamcinolone;betamethasone;dexamethasone;CHIR-99021;triamcinolone;triamcinolone;dexamethasone;dexamethasone;dexamethasone;dexamethasone;dexamethasone;dexamethasone;betamethasone;flumetasone;flumethasone;beclometasone;,5702178;6710614;5702035;5702125;45006158;5702036;9956119;31307;11870426;3003;73707402;40469540;40469526;5743;236702;9782;16490;40469854;16218996;
68,10.1016/j.stem.2015.07.006,Homo sapiens,Fibroblasts,Induced Neurons,28,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Forskolin,47936;SP600125,8515;GO6983,3499;Y-27632,448042;Dorsomorphin,11524144",CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15;CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54;C/C(=CC=CC(=CC(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;CN(C)c1cccc(c1)C(=O)Nc2ccc(C)c(NC(=O)c3ccc(O)cc3)c2;CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)N(C)C)NC(=O)C3=CC=C(C=C3)O;C/C(=CC=CC(=C/C(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5;C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,colforsin;forskolin;CHIR-99021;bisindolylmaleimide;tretinoin;ZM-336372;isotretinoin;forskolin;forskolin;tretinoin;alitretinoin;dorsomorphin;,5702265;47936;9956119;2396;444795;5730;5282379;3413;6610344;444795;449171;11524144;
69,10.1038/nbt1418,Mus musculus,Fibroblasts,Induced Pluripotent Stem Cells,21,"Valproic Acid,3121;Dexamethasone,5743",C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@]12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=C[C@@]43C)C2C[C@@H](O)[C@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]2C[C@@H](O)[C@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@]12C[C@H](O)[C@@]3(F)[C@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C;CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1(O)C(=O)CO;CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,flumetasone;betamethasone;dexamethasone;triamcinolone;betamethasone;dexamethasone;triamcinolone;triamcinolone;dexamethasone;dexamethasone;dexamethasone;dexamethasone;dexamethasone;dexamethasone;betamethasone;flumetasone;flumethasone;beclometasone;,5702178;6710614;5702035;5702125;45006158;5702036;31307;11870426;3003;73707402;40469540;40469526;5743;236702;9782;16490;40469854;16218996;
70,10.1038/cr.2015.142,Mus musculus,Fibroblasts;Neural stem cells;Intestinal Epithelial Cells,Induced Pluripotent Stem Cells,52,"Valproic Acid,3121;CHIR99021,9956119;RepSox,449054;Parnate,19493;Forskolin,47936;EPZ004777,56962336;Ch 55,6184667;AM580,2126",Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O;CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C;CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC1(C)CCC(C)(C)c2cc(ccc21)C(=O)Nc3ccc(cc3)C(=O)O;CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl;CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N;CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(O)=O)ccc12;CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C;OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F;C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O;C/C(=CC=CC(=CC(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=CC=CC(=C/C(=O)O)C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;OCC(O)CONC(=O)c1ccc(F)c(F)c1Nc1ccc(I)cc1F;C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O;CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C;CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O;CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C;CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C;CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)C=Cc2ccc(cc2)C(=O)O;CC(C)(C)C1=CC(=CC(=C1)C(=O)C=CC2=CC=C(C=C2)C(=O)O)C(C)(C)C,troglitazone;colforsin;AM-580;forskolin;CHIR-99021;tamibarotene;PD-0325901;tretinoin;isotretinoin;PD-0325901;forskolin;forskolin;tretinoin;alitretinoin;SA-792709;,5591;5702265;2126;47936;9956119;108143;9826528;444795;5282379;10206158;3413;6610344;444795;449171;6184667;
